Traffic Index,Date
44,2/4/2020 11:05
44,2/4/2020 11:00
44,2/4/2020 10:55
45,2/4/2020 10:50
45,2/4/2020 10:45
45,2/4/2020 10:40
44,2/4/2020 10:35
45,2/4/2020 10:30
45,2/4/2020 10:25
47,2/4/2020 10:20
47,2/4/2020 10:15
47,2/4/2020 10:10
49,2/4/2020 10:05
49,2/4/2020 10:00
51,2/4/2020 9:55
51,2/4/2020 9:50
51,2/4/2020 9:45
51,2/4/2020 9:40
51,2/4/2020 9:35
51,2/4/2020 9:30
53,2/4/2020 9:25
53,2/4/2020 9:20
53,2/4/2020 9:15
54,2/4/2020 9:10
56,2/4/2020 9:05
56,2/4/2020 9:00
56,2/4/2020 8:55
58,2/4/2020 8:50
58,2/4/2020 8:45
58,2/4/2020 8:40
58,2/4/2020 8:35
58,2/4/2020 8:30
58,2/4/2020 8:25
58,2/4/2020 8:20
58,2/4/2020 8:15
58,2/4/2020 8:10
58,2/4/2020 8:05
56,2/4/2020 8:00
56,2/4/2020 7:55
54,2/4/2020 7:50
51,2/4/2020 7:45
49,2/4/2020 7:40
47,2/4/2020 7:35
44,2/4/2020 7:30
42,2/4/2020 7:25
40,2/4/2020 7:20
38,2/4/2020 7:15
35,2/4/2020 7:10
33,2/4/2020 7:05
31,2/4/2020 7:00
27,2/4/2020 6:55
24,2/4/2020 6:50
22,2/4/2020 6:45
20,2/4/2020 6:40
17,2/4/2020 6:35
15,2/4/2020 6:30
15,2/4/2020 6:25
13,2/4/2020 6:20
13,2/4/2020 6:15
15,2/4/2020 6:10
15,2/4/2020 6:05
15,2/4/2020 6:00
17,2/4/2020 5:55
17,2/4/2020 5:50
15,2/4/2020 5:45
15,2/4/2020 5:40
15,2/4/2020 5:35
15,2/4/2020 5:30
15,2/4/2020 5:25
15,2/4/2020 5:20
13,2/4/2020 5:15
13,2/4/2020 5:10
13,2/4/2020 5:05
11,2/4/2020 5:00
11,2/4/2020 4:55
11,2/4/2020 4:50
11,2/4/2020 4:45
11,2/4/2020 4:40
13,2/4/2020 4:35
13,2/4/2020 4:30
13,2/4/2020 4:25
11,2/4/2020 4:20
13,2/4/2020 4:15
13,2/4/2020 4:10
13,2/4/2020 4:05
15,2/4/2020 4:00
15,2/4/2020 3:55
15,2/4/2020 3:50
15,2/4/2020 3:45
15,2/4/2020 3:40
15,2/4/2020 3:35
15,2/4/2020 3:30
15,2/4/2020 3:25
15,2/4/2020 3:20
15,2/4/2020 3:15
11,2/4/2020 3:10
11,2/4/2020 3:05
13,2/4/2020 3:00
13,2/4/2020 2:55
13,2/4/2020 2:50
13,2/4/2020 2:45
13,2/4/2020 2:40
11,2/4/2020 2:35
9,2/4/2020 2:30
11,2/4/2020 2:25
11,2/4/2020 2:20
11,2/4/2020 2:10
9,2/4/2020 2:05
9,2/4/2020 2:00
11,2/4/2020 1:55
9,2/4/2020 1:50
9,2/4/2020 1:45
9,2/4/2020 1:40
9,2/4/2020 1:35
9,2/4/2020 1:30
9,2/4/2020 1:25
11,2/4/2020 1:20
